Wall time,Step,Value
1647107262.519424,999,-970.0
1647107288.233896,1999,-963.4000244140625
1647107391.198478,5999,-967.5999755859375
1647107493.824047,9999,-934.5999755859375
1647107543.597175,11999,-923.7999877929688
1647107692.827496,17999,-922.5999755859375
1647107726.5768833,18999,-923.2000122070312
1647107803.484396,21999,-934.0
1647107847.407448,23999,-928.0
1647107911.975141,26999,-902.7999877929688
1647107997.703275,30999,-840.4000244140625
1647108019.121693,31999,-910.0
1647108061.983742,33999,-858.4000244140625
1647108083.363789,34999,-913.0
1647108126.547093,36999,-871.0
1647108190.579909,39999,-865.0
1647108232.423291,41999,-845.7999877929688
1647108253.209714,42999,-823.0
1647108274.211808,43999,-821.2000122070312
1647108316.055573,45999,-864.4000244140625
1647108336.961654,46999,-857.7999877929688
1647108378.778293,48999,-825.4000244140625
1647108420.523356,50999,-826.5999755859375
1647108462.292102,52999,-839.2000122070312
1647108504.113023,54999,-823.0
1647108566.669408,57999,-877.5999755859375
1647108629.391597,60999,-862.0
1647108650.541238,61999,-808.5999755859375
1647108671.45146,62999,-817.0
1647108692.251342,63999,-857.7999877929688
1647108733.995674,65999,-860.7999877929688
1647108754.99112,66999,-867.4000244140625
1647108775.741759,67999,-816.4000244140625
1647108796.537345,68999,-832.5999755859375
1647108838.156974,70999,-877.5999755859375
1647108859.112452,71999,-885.4000244140625
1647108900.880953,73999,-874.0
1647108942.698922,75999,-809.2000122070312
1647108963.59153,76999,-816.4000244140625
1647108984.434797,77999,-850.0
1647109005.295159,78999,-808.0
1647109047.108732,80999,-871.5999755859375
1647109068.125463,81999,-852.4000244140625
1647109088.911139,82999,-788.2000122070312
1647109109.818881,83999,-770.7999877929688
1647109151.788686,85999,-801.4000244140625
1647109172.56699,86999,-800.7999877929688
1647109214.450789,88999,-809.2000122070312
1647109256.125655,90999,-809.7999877929688
1647109277.000197,91999,-739.0
1647109297.891198,92999,-754.0
1647109318.670915,93999,-772.5999755859375
1647109339.648988,94999,-801.4000244140625
1647109360.555979,95999,-797.7999877929688
1647109423.173763,98999,-824.7999877929688
1647109506.887548,102999,-794.2000122070312
1647109549.083456,104999,-776.7999877929688
1647109570.066255,105999,-752.7999877929688
1647109612.0006824,107999,-824.7999877929688
1647109632.906854,108999,-788.7999877929688
1647109674.844657,110999,-797.2000122070312
1647109695.711584,111999,-808.5999755859375
1647109737.511939,113999,-766.0
1647109779.330741,115999,-750.4000244140625
1647109883.411807,120999,-753.4000244140625
1647109945.9415576,123999,-736.5999755859375
1647109966.956535,124999,-745.0
1647110008.861973,126999,-740.7999877929688
1647110071.682043,129999,-766.5999755859375
1647110092.655622,130999,-766.5999755859375
1647110134.4424572,132999,-686.7999877929688
1647110155.3274,133999,-758.7999877929688
1647110176.1968327,134999,-793.5999755859375
1647110217.899625,136999,-799.5999755859375
1647110238.803275,137999,-750.4000244140625
1647110280.3829367,139999,-791.7999877929688
1647110301.175989,140999,-779.7999877929688
1647110343.0834339,142999,-761.7999877929688
1647110363.971059,143999,-695.2000122070312
1647110384.8553898,144999,-718.0
1647110468.626233,148999,-747.4000244140625
1647110489.680549,149999,-716.2000122070312
1647110556.1777742,152999,-778.0
1647110578.863425,153999,-737.2000122070312
1647110600.8745532,154999,-746.2000122070312
1647110643.924335,156999,-675.4000244140625
1647110708.59448,159999,-717.4000244140625
1647110773.268867,162999,-711.4000244140625
1647110794.83703,163999,-718.5999755859375
1647110881.233959,167999,-704.7999877929688
1647110923.318017,169999,-714.4000244140625
1647110965.106748,171999,-691.5999755859375
1647110985.988458,172999,-673.5999755859375
1647111069.450912,176999,-664.0
1647111090.411443,177999,-701.2000122070312
1647111111.262323,178999,-693.4000244140625
1647111132.1656718,179999,-666.4000244140625
1647111215.587411,183999,-727.5999755859375
1647111257.162371,185999,-631.5999755859375
1647111278.02152,186999,-658.5999755859375
1647111319.808267,188999,-667.5999755859375
1647111508.8465269,197999,-699.4000244140625
1647111550.634649,199999,-722.2000122070312
1647111634.521392,203999,-711.4000244140625
1647111655.298913,204999,-665.2000122070312
1647111843.177565,213999,-725.7999877929688
1647111884.9642687,215999,-767.7999877929688
1647111905.9788597,216999,-667.5999755859375
1647111989.493386,220999,-683.2000122070312
1647112114.6716,226999,-666.4000244140625
1647112135.567898,227999,-651.4000244140625
1647112198.238489,230999,-616.0
1647112219.076282,231999,-676.5999755859375
1647112323.2115352,236999,-654.4000244140625
1647112344.171329,237999,-715.5999755859375
1647112406.547521,240999,-664.5999755859375
1647112510.981627,245999,-706.0
1647112552.68165,247999,-731.7999877929688
1647112594.4588149,249999,-691.5999755859375
1647112677.817204,253999,-691.0
1647112719.5161343,255999,-691.5999755859375
1647112740.422721,256999,-604.5999755859375
1647112761.435801,257999,-634.0
1647112782.30832,258999,-722.2000122070312
1647112803.179804,259999,-681.4000244140625
1647112949.36615,266999,-653.2000122070312
