Wall time,Step,Value
1647107262.517576,999,100.0
1647107288.231909,1999,100.0
1647107391.194556,5999,100.0
1647107493.8221147,9999,100.0
1647107543.59384,11999,100.0
1647107692.825554,17999,100.0
1647107726.574732,18999,100.0
1647107803.483134,21999,100.0
1647107847.406055,23999,100.0
1647107911.973329,26999,100.0
1647107997.7014117,30999,100.0
1647108019.119972,31999,100.0
1647108061.982108,33999,100.0
1647108083.362122,34999,100.0
1647108126.5453959,36999,100.0
1647108190.578153,39999,100.0
1647108232.421512,41999,100.0
1647108253.207507,42999,100.0
1647108274.210245,43999,100.0
1647108316.05425,45999,100.0
1647108336.959645,46999,100.0
1647108378.776447,48999,100.0
1647108420.521785,50999,100.0
1647108462.291074,52999,100.0
1647108504.111048,54999,100.0
1647108566.667544,57999,100.0
1647108629.390311,60999,100.0
1647108650.539557,61999,100.0
1647108671.450007,62999,100.0
1647108692.2499998,63999,100.0
1647108733.9943433,65999,100.0
1647108754.989569,66999,100.0
1647108775.740247,67999,100.0
1647108796.535543,68999,100.0
1647108838.155043,70999,100.0
1647108859.11058,71999,100.0
1647108900.879367,73999,100.0
1647108942.697091,75999,100.0
1647108963.589692,76999,100.0
1647108984.4332783,77999,100.0
1647109005.293062,78999,100.0
1647109047.107032,80999,100.0
1647109068.123493,81999,100.0
1647109088.909453,82999,100.0
1647109109.81724,83999,100.0
1647109151.787377,85999,100.0
1647109172.565186,86999,100.0
1647109214.449072,88999,100.0
1647109256.124544,90999,100.0
1647109276.998316,91999,100.0
1647109297.889639,92999,100.0
1647109318.669248,93999,100.0
1647109339.646834,94999,100.0
1647109360.554478,95999,100.0
1647109423.172308,98999,100.0
1647109506.886109,102999,100.0
1647109549.082054,104999,100.0
1647109570.064643,105999,100.0
1647109611.999078,107999,100.0
1647109632.905108,108999,100.0
1647109674.843196,110999,100.0
1647109695.70997,111999,100.0
1647109737.510709,113999,100.0
1647109779.328626,115999,100.0
1647109883.410148,120999,100.0
1647109945.940289,123999,100.0
1647109966.955127,124999,100.0
1647110008.8603,126999,100.0
1647110071.679796,129999,100.0
1647110092.653811,130999,100.0
1647110134.440757,132999,100.0
1647110155.32614,133999,100.0
1647110176.195231,134999,100.0
1647110217.898154,136999,100.0
1647110238.801837,137999,100.0
1647110280.381361,139999,100.0
1647110301.1747053,140999,100.0
1647110343.081832,142999,100.0
1647110363.9693723,143999,100.0
1647110384.853857,144999,100.0
1647110468.624554,148999,100.0
1647110489.677956,149999,100.0
1647110556.175631,152999,100.0
1647110578.861679,153999,100.0
1647110600.872601,154999,100.0
1647110643.92241,156999,100.0
1647110708.592878,159999,100.0
1647110773.267303,162999,100.0
1647110794.83494,163999,100.0
1647110881.23222,167999,100.0
1647110923.315984,169999,100.0
1647110965.105163,171999,100.0
1647110985.9872227,172999,100.0
1647111069.44911,176999,100.0
1647111090.409872,177999,100.0
1647111111.260291,178999,100.0
1647111132.16359,179999,100.0
1647111215.585921,183999,100.0
1647111257.159466,185999,100.0
1647111278.019835,186999,100.0
1647111319.807148,188999,100.0
1647111508.844675,197999,100.0
1647111550.632893,199999,100.0
1647111634.519718,203999,100.0
1647111655.297317,204999,100.0
1647111843.175918,213999,100.0
1647111884.962602,215999,100.0
1647111905.977264,216999,100.0
1647111989.492109,220999,100.0
1647112114.670097,226999,100.0
1647112135.566422,227999,100.0
1647112198.236711,230999,100.0
1647112219.074421,231999,100.0
1647112323.21012,236999,100.0
1647112344.169457,237999,100.0
1647112406.545697,240999,100.0
1647112510.979445,245999,100.0
1647112552.679849,247999,100.0
1647112594.457331,249999,100.0
1647112677.815438,253999,100.0
1647112719.51448,255999,100.0
1647112740.420952,256999,100.0
1647112761.434144,257999,100.0
1647112782.306878,258999,100.0
1647112803.1781487,259999,100.0
1647112949.363907,266999,100.0
1647112991.139871,268999,100.0
1647113011.87436,269999,100.0
1647113032.695463,270999,100.0
1647113178.448835,277999,100.0
1647113199.22852,278999,100.0
1647113240.79372,280999,100.0
1647113303.408181,283999,100.0
1647113365.90755,286999,100.0
1647113386.87345,287999,100.0
1647113449.410051,290999,100.0
1647113470.259591,291999,100.0
1647113511.701896,293999,100.0
1647113595.0743942,297999,100.0
1647113720.013007,303999,100.0
1647113845.261882,309999,100.0
1647113866.094009,310999,100.0
1647113887.05771,311999,100.0
1647113907.969504,312999,100.0
1647113949.805961,314999,100.0
1647113970.584623,315999,100.0
1647113991.434466,316999,100.0
1647114033.232547,318999,100.0
1647114074.916697,320999,100.0
1647114095.75943,321999,100.0
1647114116.521525,322999,100.0
1647114137.416722,323999,100.0
1647114179.204659,325999,100.0
1647114220.799672,327999,100.0
1647114241.557828,328999,100.0
1647114262.440281,329999,100.0
1647114345.681427,333999,100.0
1647114387.178316,335999,100.0
1647114407.94031,336999,100.0
1647114428.841881,337999,100.0
1647114491.0237298,340999,100.0
1647114574.196066,344999,100.0
1647114595.021819,345999,100.0
1647114615.7545202,346999,100.0
1647114636.569855,347999,100.0
1647114719.819223,351999,100.0
1647114803.079649,355999,100.0
1647114844.747952,357999,100.0
1647114969.614269,363999,100.0
1647115011.217049,365999,100.0
1647115240.113742,376999,100.0
1647115260.869358,377999,100.0
1647115281.614828,378999,100.0
1647115302.33044,379999,100.0
1647115364.825969,382999,100.0
1647115385.601277,383999,100.0
1647115406.4689384,384999,100.0
1647115552.182274,391999,100.0
1647115572.996975,392999,100.0
1647115635.51747,395999,100.0
1647115656.2363358,396999,100.0
1647115697.874687,398999,100.0
1647115739.585612,400999,100.0
1647115760.437727,401999,100.0
1647115802.077559,403999,100.0
1647115822.873032,404999,100.0
1647115864.527494,406999,100.0
1647116093.604718,417999,100.0
1647116218.625296,423999,100.0
1647116260.223282,425999,100.0
1647116322.438544,428999,100.0
1647116405.837972,432999,100.0
1647116426.625967,433999,100.0
1647116447.5666037,434999,100.0
1647116572.333924,440999,100.0
1647116593.221891,441999,100.0
1647116634.610931,443999,100.0
1647116655.362654,444999,100.0
1647116717.721519,447999,100.0
1647116821.597395,452999,100.0
1647116842.441747,453999,100.0
1647116863.292069,454999,100.0
1647116884.083815,455999,100.0
1647116904.734704,456999,100.0
1647116967.068572,459999,100.0
1647117050.198254,463999,100.0
1647117071.01543,464999,100.0
1647117112.561113,466999,100.0
1647117174.955915,469999,100.0
1647117216.486177,471999,100.0
1647117237.317445,472999,100.0
1647117299.914329,475999,100.0
1647117320.840873,476999,100.0
1647117362.532871,478999,100.0
1647117383.414991,479999,100.0
1647117424.983816,481999,100.0
1647117445.718687,482999,100.0
1647117529.276938,486999,100.0
1647117570.573013,488999,100.0
1647117674.500713,493999,100.0
1647117695.191043,494999,100.0
1647117715.9653313,495999,100.0
1647117736.677482,496999,100.0
1647117799.091915,499999,100.0
